symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
COALINDIA,Energy,404,448.8484,472.6,5.2917,2026-04-02,179.5,182.5,182.5
BAJAJ-AUTO,Consumer Cyclical,20,10254.244,10376.0,1.1874,2026-05-02,179.0,180.75,180.75
FEDERALBNK,Financial Services,724,290.29,288.2,-0.72,2026-05-02,178.5,181.5,181.5
JSWSTEEL,Basic Materials,164,1279.278,1299.4,1.5729,2026-05-02,170.5,180.75,180.75
TORNTPHARM,Healthcare,47,4284.28,4284.28,0.0,2026-06-02,191.25,191.25,191.25
HINDALCO,Basic Materials,179,1142.141,1142.141,0.0,2026-06-02,177.25,177.25,177.25
EICHERMOT,Consumer Cyclical,28,7076.069,7076.069,0.0,2026-06-02,176.5,176.5,176.5
BIOCON,Healthcare,481,425.425,425.425,0.0,2026-06-02,173.25,173.25,173.25
TATASTEEL,Basic Materials,979,209.219,209.219,0.0,2026-06-02,172.0,172.0,172.0
AUROPHARMA,Healthcare,142,1438.3369,1438.3369,0.0,2026-06-02,171.25,171.25,171.25
